0.000000,15.000000,0.000000,-23310.000000
0.001000,14.988109,-24.019894,-24740.492014
0.002000,14.951473,-49.502818,-26236.494435
0.003000,14.888594,-76.515605,-27800.670691
0.004000,14.797908,-105.127803,-29435.785677
0.005000,14.677781,-135.411776,-31144.709464
0.006000,14.526503,-167.442815,-32930.421143
0.007000,14.342287,-201.299242,-34796.012803
0.008000,14.123268,-237.062533,-36744.693650
0.009000,13.867498,-274.817433,-38779.794271
0.010000,13.572940,-314.652077,-40904.771056
0.011000,13.237470,-356.658125,-43123.210765
0.012000,12.858869,-400.930890,-45438.835267
0.013000,12.434820,-447.569474,-47855.506442
0.014000,11.962907,-496.676916,-50377.231256
0.015000,11.440608,-548.360336,-53008.167018
0.016000,10.865291,-602.731087,-55752.626818
0.017000,10.234211,-659.904918,-58615.085164
0.018000,9.544506,-720.002133,-61600.183808
0.019000,8.793191,-783.147766,-64712.737789
0.020000,7.977152,-849.471754,-67957.741676
0.021000,7.093143,-919.109121,-71340.376043
0.022000,6.137782,-992.200168,-74866.014163
0.023000,5.107543,-1068.890669,-78540.228938
0.024000,3.998751,-1149.332072,-82368.800081
0.025000,2.807576,-1233.681713,-86357.721539
0.026000,1.530030,-1322.103031,-90513.209182
0.027000,0.161957,-1414.765796,-94841.708761
0.028000,-1.243341,-1368.061110,-89877.633225
0.029000,-2.575230,-1296.234066,-83480.434919
0.030000,-3.836826,-1227.457687,-77517.169134
0.031000,-5.031123,-1161.614389,-71959.952945
0.032000,-6.160995,-1098.590875,-66782.628012
0.033000,-7.229208,-1038.277983,-61960.656473
0.034000,-8.238419,-980.570539,-57471.023027
0.035000,-9.191184,-925.367219,-53292.142843
0.036000,-10.089956,-872.570413,-49403.774954
0.037000,-10.937095,-822.086093,-45786.940812
0.038000,-11.734868,-773.823686,-42423.847696
0.039000,-12.485454,-727.695953,-39297.816691
0.040000,-13.190944,-683.618873,-36393.214965
0.041000,-13.853348,-641.511524,-33695.392091
0.042000,-14.474597,-601.295977,-31190.620175
0.043000,-15.056546,-562.897189,-28866.037567
0.044000,-15.600973,-526.242901,-26709.595939
0.045000,-16.109590,-491.263537,-24710.010530
0.046000,-16.584036,-457.892110,-22856.713384
0.047000,-17.025888,-426.064130,-21139.809377
0.048000,-17.436658,-395.717515,-19550.034903
0.049000,-17.817797,-366.792503,-18078.719023
0.050000,-18.170698,-339.231572,-16717.746966
0.051000,-18.496696,-312.979357,-15459.525820
0.052000,-18.797075,-287.982575,-14296.952285
0.053000,-19.073063,-264.189949,-13223.382382
0.054000,-19.325840,-241.552137,-12232.602979
0.055000,-19.556536,-220.021660,-11318.805046
0.056000,-19.766237,-199.552840,-10476.558516
0.057000,-19.955981,-180.101728,-9700.788682
0.058000,-20.126765,-161.626047,-8986.754010
0.059000,-20.279545,-144.085132,-8330.025310
0.060000,-20.415234,-127.439867,-7726.466160
0.061000,-20.534710,-111.652631,-7172.214531
0.062000,-20.638813,-96.687248,-6663.665522
0.063000,-20.728347,-82.508928,-6197.455153
0.064000,-20.804082,-69.084221,-5770.445139
0.065000,-20.866756,-56.380964,-5379.708607
0.066000,-20.917074,-44.368241,-5022.516669
0.067000,-20.955713,-33.016330,-4696.325835
0.068000,-20.983318,-22.296664,-4398.766186
0.069000,-21.000508,-12.181788,-4127.630275
0.070000,-21.007874,-2.645316,-3880.862717
0.071000,-21.005983,6.338106,-3656.550415
0.072000,-20.995374,14.792838,-3452.913385
0.073000,-20.976565,22.742284,-3268.296159
0.074000,-20.950051,30.208925,-3101.159710
0.075000,-20.916301,37.214357,-2950.073881
0.076000,-20.875769,43.779318,-2813.710285
0.077000,-20.828883,49.923726,-2690.835648
0.078000,-20.776055,55.666705,-2580.305558
0.079000,-20.717677,61.026616,-2481.058619
0.080000,-20.654124,66.021086,-2392.110958
0.081000,-20.585751,70.667032,-2312.551080
0.082000,-20.512900,74.980695,-2241.535050
0.083000,-20.435895,78.977656,-2178.281973
0.084000,-20.355045,82.672869,-2122.069763
0.085000,-20.270645,86.080676,-2072.231175
0.086000,-20.182975,89.214840,-2028.150093
0.087000,-20.092302,92.088559,-1989.258052
0.088000,-19.998881,94.714488,-1955.030981
0.089000,-19.902952,97.104766,-1924.986152
0.090000,-19.804746,99.271027,-1898.679330
0.091000,-19.704481,101.224424,-1875.702099
0.092000,-19.602364,102.975649,-1855.679365
0.093000,-19.498594,104.534944,-1838.267017
0.094000,-19.393355,105.912125,-1823.149743
0.095000,-19.286827,107.116595,-1810.038983
0.096000,-19.179177,108.157359,-1798.671019
0.097000,-19.070564,109.043042,-1788.805187
0.098000,-18.961139,109.781902,-1780.222212
0.099000,-18.851046,110.381843,-1772.722642
0.100000,-18.740420,110.850431,-1766.125397
0.101000,-18.629387,111.194906,-1760.266406
0.102000,-18.518069,111.422196,-1754.997338
0.103000,-18.406579,111.538926,-1750.184418
0.104000,-18.295026,111.551433,-1745.707320
0.105000,-18.183509,111.465774,-1741.458137
0.106000,-18.072125,111.287743,-1737.340421
0.107000,-17.960963,111.022873,-1733.268284
0.108000,-17.850106,110.676453,-1729.165566
0.109000,-17.739635,110.253535,-1724.965058
0.110000,-17.629623,109.758943,-1720.607775
0.111000,-17.520140,109.197283,-1716.042284
0.112000,-17.411249,108.572952,-1711.224080
0.113000,-17.303013,107.890144,-1706.114998
0.114000,-17.195487,107.152861,-1700.682675
0.115000,-17.088724,106.364919,-1694.900048
0.116000,-16.982773,105.529958,-1688.744881
0.117000,-16.877679,104.651444,-1682.199339
0.118000,-16.773484,103.732681,-1675.249580
